Date,AGG_exp_return,EEM_exp_return,IAU_exp_return,IEF_exp_return,IEV_exp_return,ITOT_exp_return,IYR_exp_return,SHY_exp_return,AGG_uncertainty,EEM_uncertainty,IAU_uncertainty,IEF_uncertainty,IEV_uncertainty,ITOT_uncertainty,IYR_uncertainty,SHY_uncertainty,AGG_mae,EEM_mae,IAU_mae,IEF_mae,IEV_mae,ITOT_mae,IYR_mae,SHY_mae
2012-10-02,0.030233964,0.07174292,0.09580784,0.040830713,0.030734168,0.031382613,0.037785366,0.016993843,0.0057687312,0.005697499,0.007213433,0.005278505,0.007503107,0.007953823,0.0031038166,0.0024100468,0.024830261,0.047794655,0.19424589,0.0375078,0.0578117,0.07534833,0.063600376,0.015663372
2012-10-03,0.029801955,0.071403004,0.09636873,0.041219063,0.03054681,0.03140128,0.037598,0.017168665,0.005940362,0.005402439,0.007412955,0.005373217,0.0070391535,0.0074664215,0.0031011626,0.0025201133,0.024607562,0.05081462,0.20698549,0.037017297,0.056960594,0.074017994,0.065117754,0.015673062
2012-10-04,0.029545642,0.07021026,0.09625535,0.04064124,0.02870549,0.02929001,0.036854714,0.017337766,0.0054551763,0.0047960104,0.007154757,0.004655214,0.0059936345,0.006752974,0.0027891782,0.0021914912,0.02425106,0.052542515,0.21823896,0.036416743,0.056567773,0.07376517,0.06855726,0.015697245
2012-10-05,0.029758459,0.07075196,0.09663675,0.04120548,0.02961675,0.03030132,0.03731406,0.01742022,0.0055486504,0.005236936,0.007295074,0.0047662635,0.0065417504,0.007140502,0.0029431174,0.0023498724,0.023757763,0.055601984,0.22815518,0.03533378,0.05316665,0.07198054,0.06994562,0.015683578
2012-10-08,0.030385273,0.07148519,0.09573791,0.04121894,0.03096258,0.03129816,0.03768711,0.017001761,0.005919966,0.0051012808,0.0072838077,0.004778232,0.007018361,0.00778803,0.0030549036,0.002422436,0.023522265,0.05765352,0.23605621,0.034599174,0.05064403,0.06986051,0.07160105,0.015643908
2012-10-09,0.029713178,0.0698466,0.09634932,0.040696755,0.028226947,0.028719326,0.03650031,0.017559154,0.00490939,0.004729909,0.0067830463,0.004446153,0.0055206893,0.0061322004,0.002670314,0.0022326456,0.023140403,0.0573612,0.24220453,0.0337467,0.050874077,0.0701374,0.07484729,0.015658515
2012-10-10,0.029942587,0.070387036,0.09616281,0.04072145,0.029007321,0.029465878,0.03681917,0.017386459,0.0051456327,0.004939797,0.0068810442,0.004462921,0.005806391,0.006391146,0.002739615,0.0022521683,0.022846177,0.05613587,0.24642073,0.03314529,0.051757555,0.07144156,0.07778435,0.015634542
2012-10-11,0.029636063,0.06970627,0.09640711,0.040378455,0.027636625,0.028469365,0.03639433,0.017620847,0.0049372707,0.0046926583,0.006788155,0.004494726,0.0053881495,0.0061837537,0.002617424,0.002102469,0.02270658,0.055374626,0.2510072,0.032711864,0.053405017,0.07361138,0.081083745,0.015633993
2012-10-12,0.029591206,0.069086224,0.095963314,0.0403975,0.027399963,0.028311606,0.03647933,0.017549757,0.0049560536,0.004467545,0.0066684745,0.0041641174,0.00533822,0.0060548126,0.0026638333,0.002140041,0.022665516,0.053779367,0.25378478,0.032285772,0.05574539,0.0760087,0.0848672,0.015648631
2012-10-15,0.02973534,0.06893178,0.09622597,0.04016974,0.026905864,0.027764495,0.03619494,0.017652107,0.004650128,0.0043060863,0.006597765,0.0040290058,0.0047106207,0.0054293294,0.002403419,0.0020115757,0.022731261,0.05201965,0.2538691,0.03200487,0.05751477,0.07788093,0.087498985,0.015660465
