Date,DJIA,Open,High,Low,Vol.,Change %
2005/10/20,10281.10,10411.73,10432.78,10252.13,334.85M,-1.28%
2005/10/19,10414.13,10277.18,10414.13,10232.98,316.88M,1.25%
2005/10/18,10285.26,10349.14,10361.47,10285.26,297.59M,-0.61%
2005/10/17,10348.10,10287.42,10350.99,10269.81,242.88M,0.59%
2005/10/14,10287.34,10216.59,10291.91,10200.10,238.95M,0.69%
2005/10/13,10216.59,10216.91,10241.32,10156.46,270.36M,0.00%
2005/10/12,10216.91,10253.81,10308.88,10186.09,293.42M,-0.35%
2005/10/11,10253.17,10239.16,10312.88,10234.20,261.00M,0.14%
2005/10/10,10238.76,10292.95,10323.12,10237.80,236.54M,-0.52%
2005/10/07,10292.31,10287.42,10347.30,10280.62,237.34M,0.05%
2005/10/06,10287.10,10317.36,10369.55,10218.09,316.44M,-0.29%
2005/10/05,10317.36,10434.81,10438.47,10316.16,266.72M,-1.19%
2005/10/04,10441.11,10534.36,10567.82,10434.79,301.84M,-0.90%
2005/10/03,10535.48,10569.50,10608.56,10523.63,239.19M,-0.31%
2005/09/30,10568.70,10552.70,10569.81,10526.12,222.16M,0.15%
2005/09/29,10552.78,10472.61,10563.37,10418.01,236.02M,0.76%
2005/09/28,10473.09,10456.61,10512.10,10423.98,238.74M,0.16%
2005/09/27,10456.21,10444.58,10496.25,10415.62,224.96M,0.12%
2005/09/26,10443.63,10420.22,10509.23,10410.11,234.32M,0.23%
2005/09/23,10419.59,10421.81,10455.81,10372.06,238.03M,-0.02%
2005/09/22,10422.05,10376.20,10444.51,10350.96,254.26M,0.42%
2005/09/21,10378.03,10484.23,10484.55,10375.24,266.65M,-0.99%
2005/09/20,10481.52,10558.19,10604.76,10467.11,244.56M,-0.72%
2005/09/19,10557.63,10641.87,10644.57,10521.18,233.53M,-0.79%
2005/09/16,10641.94,10560.50,10647.36,10560.42,546.94M,0.79%
2005/09/15,10558.75,10545.85,10582.07,10520.93,225.35M,0.13%
2005/09/14,10544.90,10597.52,10633.19,10536.62,216.30M,-0.50%
2005/09/13,10597.44,10673.71,10674.03,10595.29,222.62M,-0.80%
2005/09/12,10682.94,10678.41,10701.81,10664.09,201.19M,0.04%
2005/09/09,10678.56,10594.10,10695.92,10593.94,247.14M,0.78%
2005/09/08,10595.93,10633.11,10636.49,10569.34,222.99M,-0.35%
2005/09/07,10633.50,10588.68,10640.43,10573.95,226.79M,0.42%
2005/09/06,10589.24,10447.69,10593.06,10447.69,233.67M,1.36%
2005/09/02,10447.37,10460.67,10497.45,10434.71,204.49M,-0.12%
2005/09/01,10459.63,10481.44,10513.76,10425.80,278.99M,-0.21%
2005/08/31,10481.60,10409.08,10484.79,10356.87,281.20M,0.66%
2005/08/30,10412.82,10461.54,10461.54,10350.00,234.65M,-0.48%
2005/08/29,10463.05,10396.90,10487.50,10349.37,202.97M,0.63%
2005/08/26,10397.29,10450.95,10450.95,10383.98,192.10M,-0.51%
2005/08/25,10450.63,10434.39,10465.36,10428.34,188.10M,0.15%
2005/08/24,10434.87,10519.34,10559.00,10432.08,256.64M,-0.81%
2005/08/23,10519.58,10571.01,10577.46,10496.73,210.67M,-0.48%
2005/08/22,10569.89,10559.78,10641.15,10523.96,215.57M,0.10%
2005/08/19,10559.23,10552.70,10626.26,10552.70,219.83M,0.04%
2005/08/18,10554.93,10549.75,10592.90,10517.43,213.90M,0.04%
2005/08/17,10550.71,10505.60,10588.93,10503.37,235.03M,0.35%
2005/08/16,10513.45,10631.59,10640.27,10510.34,232.52M,-1.14%
2005/08/15,10634.38,10599.19,10655.08,10557.87,173.34M,0.32%
2005/08/12,10600.31,10682.70,10682.78,10568.30,218.89M,-0.80%
2005/08/11,10685.89,10591.83,10685.89,10588.52,234.25M,0.86%
2005/08/10,10594.41,10606.52,10719.41,10570.05,258.42M,-0.20%
2005/08/09,10615.67,10537.65,10639.08,10537.65,207.46M,0.75%
2005/08/08,10536.93,10557.24,10606.04,10524.91,185.88M,-0.20%
2005/08/05,10558.03,10610.34,10610.81,10554.45,218.24M,-0.49%
2005/08/04,10610.10,10696.80,10696.88,10606.67,230.60M,-0.82%
2005/08/03,10697.59,10681.51,10698.07,10638.48,237.65M,0.13%
2005/08/02,10683.74,10623.79,10699.19,10623.47,241.69M,0.57%
2005/08/01,10623.15,10641.78,10672.36,10610.89,192.79M,-0.17%
2005/07/29,10640.91,10705.16,10717.73,10640.91,215.28M,-0.60%
2005/07/28,10705.55,10633.50,10710.48,10629.68,220.17M,0.64%
2005/07/27,10637.09,10579.45,10645.92,10577.38,213.22M,0.54%
2005/07/26,10579.77,10597.60,10626.00,10572.92,220.39M,-0.16%
2005/07/25,10596.48,10651.66,10686.53,10591.55,190.25M,-0.51%
2005/07/22,10651.18,10624.19,10658.58,10588.05,231.48M,0.22%
2005/07/21,10627.77,10690.03,10700.06,10608.43,281.75M,-0.57%
2005/07/20,10689.15,10629.52,10691.30,10581.12,312.42M,0.40%
2005/07/19,10646.56,10576.90,10668.52,10576.90,318.16M,0.68%
2005/07/18,10574.99,10640.19,10640.19,10574.99,206.29M,-0.62%
2005/07/15,10640.83,10629.44,10654.12,10600.48,239.70M,0.11%
2005/07/14,10628.89,10559.86,10657.69,10559.86,267.79M,0.68%
2005/07/13,10557.39,10513.36,10564.91,10512.36,216.66M,0.41%
2005/07/12,10513.89,10519.49,10544.04,10483.20,233.39M,-0.06%
2005/07/11,10519.72,10449.60,10534.22,10449.60,225.47M,0.68%
2005/07/08,10449.14,10302.90,10462.26,10300.45,249.26M,1.43%
2005/07/07,10302.29,10269.76,10310.04,10175.40,275.31M,0.31%
2005/07/06,10270.68,10366.52,10380.47,10267.61,237.21M,-0.97%
2005/07/05,10371.80,10303.13,10389.06,10282.65,235.62M,0.66%
2005/07/01,10303.44,10273.59,10343.79,10273.52,231.38M,0.28%
2005/06/30,10274.97,10374.18,10412.79,10267.22,301.81M,-0.96%
2005/06/29,10374.48,10405.94,10433.79,10363.28,222.55M,-0.30%
2005/06/28,10405.63,10291.01,10409.70,10290.55,215.35M,1.12%
2005/06/27,10290.78,10298.07,10332.13,10253.49,220.51M,-0.07%
2005/06/24,10297.84,10422.28,10422.28,10297.84,343.15M,-1.19%
2005/06/23,10421.44,10587.09,10589.01,10419.60,288.03M,-1.57%
2005/06/22,10587.93,10599.36,10646.24,10578.04,198.81M,-0.11%
2005/06/21,10599.67,10608.88,10630.36,10580.87,204.33M,-0.09%
2005/06/20,10609.11,10621.54,10637.57,10562.38,173.11M,-0.13%
2005/06/17,10623.07,10580.41,10656.29,10579.49,373.40M,0.42%
2005/06/16,10578.65,10566.76,10595.45,10540.06,217.73M,0.12%
2005/06/15,10566.37,10548.65,10589.93,10495.39,220.85M,0.18%
2005/06/14,10547.57,10521.95,10586.70,10521.79,192.03M,0.24%
2005/06/13,10522.56,10503.57,10589.16,10474.38,205.63M,0.09%
2005/06/10,10512.63,10503.02,10538.64,10452.62,217.10M,0.09%
2005/06/09,10503.02,10477.75,10526.37,10443.31,209.81M,0.25%
2005/06/08,10476.86,10484.84,10543.29,10465.32,195.82M,-0.06%
2005/06/07,10483.07,10466.00,10578.84,10465.92,213.99M,0.15%
2005/06/06,10467.03,10461.64,10481.00,10430.97,170.20M,0.06%
2005/06/03,10460.97,10552.82,10553.19,10448.41,222.23M,-0.88%
2005/06/02,10553.49,10548.83,10559.93,10510.41,187.68M,0.03%
2005/06/01,10549.87,10462.86,10586.37,10457.91,233.10M,0.79%
2005/05/31,10467.48,10541.89,10542.33,10467.48,240.78M,-0.71%
2005/05/27,10542.55,10537.08,10552.01,10517.66,168.06M,0.05%
2005/05/26,10537.60,10458.68,10544.10,10458.61,194.62M,0.76%
2005/05/25,10457.80,10503.17,10503.17,10426.39,187.99M,-0.44%
2005/05/24,10503.68,10522.68,10522.68,10471.91,204.65M,-0.19%
2005/05/23,10523.56,10472.80,10560.81,10466.07,225.29M,0.49%
2005/05/20,10471.91,10492.75,10499.26,10423.88,232.25M,-0.20%
2005/05/19,10493.19,10464.45,10494.74,10435.32,209.18M,0.27%
2005/05/18,10464.45,10323.19,10480.85,10323.04,299.76M,1.28%
